replication,seed,excess_attention_estimate
141,202607200,4.8337435903059935
142,202607201,4.283850462366758
143,202607202,4.649610436146457
144,202607203,4.966962437857676
145,202607204,5.090927045769405
146,202607205,4.898279653774767
147,202607206,5.032207423078637
148,202607207,4.8313539379983315
149,202607208,5.297662157548394
150,202607209,5.6283300538356755
151,202607210,5.9097654005789355
152,202607211,5.171841861094333
153,202607212,4.45807334447596
154,202607213,5.010754320011683
155,202607214,5.139325756304733
156,202607215,5.0292851503418206
157,202607216,4.95316686077324
158,202607217,5.03241112403009
159,202607218,4.421408424435453
160,202607219,4.579460703747452
161,202607220,5.186643767850812
162,202607221,5.295465162719046
163,202607222,5.686112223570203
164,202607223,4.9200735845307335
165,202607224,5.388720466921506
166,202607225,4.877272221070545
167,202607226,4.821028723944629
168,202607227,5.178164173887953
169,202607228,6.153921809403775
170,202607229,5.47638630976087
171,202607230,4.853444397199632
172,202607231,4.448774063792857
173,202607232,5.026259271124048
174,202607233,4.328507893814117
175,202607234,5.115387318812441
176,202607235,5.428330314514595
177,202607236,4.327583650104473
178,202607237,4.434333936425599
179,202607238,4.487797160717865
180,202607239,5.534408833518251
181,202607240,4.956113936208586
182,202607241,6.19024729371613
183,202607242,5.451147975894877
184,202607243,4.842146381812994
185,202607244,5.126172428546709
186,202607245,5.267077850971495
187,202607246,5.618474662895676
188,202607247,4.782041299762853
189,202607248,4.6951255586290275
190,202607249,4.940995069537015
191,202607250,4.794500551235299
192,202607251,5.576111158862244
193,202607252,5.393617014785921
194,202607253,4.860259795734833
195,202607254,5.6964584461909125
196,202607255,5.106620335939249
197,202607256,5.486640411173843
198,202607257,4.887968628851494
199,202607258,4.801459480170406
200,202607259,4.556721799384159
201,202607260,4.552225755019871
202,202607261,4.887129902486414
203,202607262,4.120568037642709
204,202607263,5.092979549938183
205,202607264,6.541446815066602
206,202607265,4.719360897330596
207,202607266,4.71125820764519
208,202607267,5.131557677518853
209,202607268,5.577731354065044
210,202607269,4.869112704677913
211,202607270,5.1653758828053435
212,202607271,5.59420168830388
213,202607272,5.466099726757534
214,202607273,5.192361868783415
215,202607274,5.386598182535317
216,202607275,5.73160197553156
217,202607276,5.211026986546612
218,202607277,4.89349134960539
219,202607278,4.8575445250637035
220,202607279,5.555768235028778
221,202607280,5.130931897093962
222,202607281,5.389981630099725
223,202607282,5.0590996832451856
224,202607283,5.114109608800814
225,202607284,5.0041738602080015
226,202607285,5.1442793131837705
227,202607286,4.815407361391064
228,202607287,4.770709074020875
229,202607288,5.010432206258904
230,202607289,4.984940435364679
231,202607290,4.050614882468386
232,202607291,5.939572940352711
233,202607292,4.969342879233097
234,202607293,5.293330853249044
235,202607294,5.285129848349037
236,202607295,4.575062479224524
237,202607296,5.324494815961394
238,202607297,5.085345936521123
239,202607298,5.993302518957034
240,202607299,4.938442197195101
241,202607300,5.800304243155868
242,202607301,5.6407906970425925
243,202607302,5.199624142946757
244,202607303,4.324963410645588
245,202607304,5.457511693843787
246,202607305,5.4704407003528255
247,202607306,5.494678244029942
248,202607307,4.854919112871875
249,202607308,4.592019818948884
250,202607309,5.045849208332995
251,202607310,4.117364489543852
252,202607311,5.078932793339882
253,202607312,5.084835528633045
254,202607313,4.464536908556203
255,202607314,5.426308324063451
256,202607315,5.235711064863784
257,202607316,5.22127415970875
258,202607317,4.645014183657238
259,202607318,4.69897208707342
260,202607319,5.067605547855627
261,202607320,5.288959879830591
262,202607321,5.427965556164997
263,202607322,4.732695188848374
264,202607323,5.278192617318523
265,202607324,4.813427282450013
266,202607325,4.589609488607226
267,202607326,5.262066736165611
268,202607327,4.307950919537056
269,202607328,5.498251059641987
270,202607329,3.967606223574761
271,202607330,4.962278859690539
272,202607331,5.038551002433124
273,202607332,4.693130147033703
274,202607333,4.942582296750032
275,202607334,4.8776781665818865
276,202607335,5.372634745413847
277,202607336,5.562970956660569
278,202607337,4.341686728299164
279,202607338,4.909865204605143
280,202607339,4.333955476198661
281,202607340,4.563962234442555
282,202607341,4.599022806488478
283,202607342,4.6887842373137865
284,202607343,5.0681045393652155
285,202607344,4.690599282794246
286,202607345,5.140324144351609
287,202607346,5.232633649663159
288,202607347,5.142758017510233
289,202607348,4.63841745289877
290,202607349,4.734467055549817
291,202607350,4.839717666954349
292,202607351,4.989843859248515
293,202607352,5.3526840518180325
294,202607353,5.80424612652498
295,202607354,4.309529111957027
296,202607355,4.493774244977012
297,202607356,5.549769408728606
298,202607357,4.276424370154375
299,202607358,5.036369590602779
300,202607359,4.630724285666282
301,202607360,4.8810428219688315
302,202607361,4.43760300587829
303,202607362,4.436537458596357
304,202607363,4.590211546163935
305,202607364,4.560397954446587
306,202607365,5.395812734501767
307,202607366,5.303733395188141
308,202607367,5.129787434058227
309,202607368,4.901703924365582
310,202607369,4.76384206885162
311,202607370,4.27250515978978
312,202607371,5.552753195305238
313,202607372,4.883315464780179
314,202607373,5.0949557715113745
315,202607374,5.018320789687168
316,202607375,4.938295740732125
317,202607376,4.835670227064583
318,202607377,6.079568087654422
319,202607378,4.887324727341807
320,202607379,5.0746526424359315
321,202607380,5.358401877346734
322,202607381,3.6983254273913873
323,202607382,4.769529803023264
324,202607383,4.582609292181362
325,202607384,4.741854093752655
326,202607385,5.155614333591116
327,202607386,5.321899037705619
328,202607387,4.569560018674284
329,202607388,6.057451851355001
330,202607389,4.557384310509647
331,202607390,4.863397957802879
332,202607391,4.735179532014105
333,202607392,4.6602929688075845
334,202607393,5.084277393620933
335,202607394,5.2526846594064045
336,202607395,5.899365526365523
337,202607396,4.88624242401135
338,202607397,5.032832019839627
339,202607398,4.596276955104444
340,202607399,4.580740034925531
341,202607400,5.117276830221843
342,202607401,5.458842924054797
343,202607402,5.080123926349824
344,202607403,5.242487019066177
345,202607404,4.531294852658163
346,202607405,4.911535513194096
347,202607406,5.696499996154702
348,202607407,4.7901170536289
349,202607408,4.73433954509435
350,202607409,5.325212062907006
351,202607410,4.0760213438723305
352,202607411,4.238225403409499
353,202607412,4.43398205223452
354,202607413,5.022835463850443
355,202607414,5.176971398687745
356,202607415,4.947302900394787
357,202607416,5.25156217474796
358,202607417,4.8562192142941125
359,202607418,4.957468542931253
360,202607419,5.3503003946689915
361,202607420,5.41976489123419
362,202607421,5.952287757449293
363,202607422,4.246448604388976
364,202607423,5.902395349240935
365,202607424,5.301067702088382
366,202607425,5.471682200069864
367,202607426,5.41989662971913
368,202607427,4.539976743332446
369,202607428,4.738640585215833
370,202607429,5.406975826332087
371,202607430,4.711077504270007
372,202607431,5.295193020963427
373,202607432,4.440027184300668
374,202607433,5.666492288935663
375,202607434,4.515765472821567
376,202607435,4.829747067501741
377,202607436,5.529993742964274
378,202607437,5.0139276308387775
379,202607438,5.38081476527051
380,202607439,5.07152787424609
381,202607440,4.586980995930078
382,202607441,4.341195518029052
383,202607442,4.976488980627639
384,202607443,4.416953818181357
385,202607444,4.753399089387003
386,202607445,5.238251502448633
387,202607446,5.340373128829428
388,202607447,4.803900310862067
389,202607448,5.348835858139519
390,202607449,5.094396925689702
391,202607450,5.468825267579189
392,202607451,5.323102888147581
393,202607452,5.160488345882969
394,202607453,5.061955080753166
395,202607454,4.289738841741711
396,202607455,5.742866134338783
397,202607456,4.942843365211137
398,202607457,4.277067496108944
399,202607458,4.846479238578476
400,202607459,4.702004728610598
401,202607460,5.167331158264933
402,202607461,5.02001434229324
403,202607462,4.938802414271161
404,202607463,4.876773660927946
405,202607464,4.8620557094700265
406,202607465,5.057592856562864
407,202607466,5.195124614204075
408,202607467,4.887777100815499
409,202607468,4.411168982587695
410,202607469,4.841999460737987
411,202607470,4.920220653391973
412,202607471,5.05875818306141
413,202607472,4.592751620950027
414,202607473,5.325249494630528
415,202607474,6.0840075163619876
416,202607475,5.048055943147702
417,202607476,4.989264054639448
418,202607477,5.310944120517458
419,202607478,4.5511725528746165
420,202607479,5.21058926929542
421,202607480,4.893581067806963
422,202607481,4.507936164229658
423,202607482,4.6301622482295075
424,202607483,4.638153100881253
425,202607484,5.202150042232543
426,202607485,5.0153517096824345
427,202607486,4.908315146553255
428,202607487,5.378764772341931
429,202607488,5.741587698518424
430,202607489,5.143483589180943
431,202607490,5.462708825966817
432,202607491,4.681385961978549
433,202607492,5.029293235763354
434,202607493,4.921861929994137
435,202607494,4.768894520701516
436,202607495,4.7727369203116226
437,202607496,4.743404625275564
438,202607497,5.494357544952982
439,202607498,4.884831424002266
440,202607499,5.024233785659028
441,202607500,5.024521818309973
442,202607501,5.208608220944875
443,202607502,4.239352148569111
444,202607503,4.6575493873947
445,202607504,5.465283343808549
446,202607505,4.559362766832232
447,202607506,4.931072404982124
448,202607507,5.405495498423446
449,202607508,5.372497943873655
450,202607509,4.9225714363470106
451,202607510,5.477519087048667
452,202607511,5.503867946270054
453,202607512,4.80368959280148
454,202607513,5.033448434595032
455,202607514,5.61958165569972
456,202607515,4.378036162232379
457,202607516,4.259257771521096
458,202607517,5.11731641547842
459,202607518,4.624880962986112
460,202607519,4.854547824749987
461,202607520,5.023808685839418
462,202607521,5.438180609774379
463,202607522,5.427860472083075
464,202607523,5.423416022063079
465,202607524,4.701260795144777
466,202607525,5.518042100194556
467,202607526,5.224160836449646
468,202607527,5.375314877614113
469,202607528,5.661492629630241
470,202607529,5.0264201827111235
471,202607530,5.426893839334666
472,202607531,5.406337272484618
473,202607532,5.20469196273916
474,202607533,5.146248167090588
475,202607534,4.981053916497017
476,202607535,4.491063026296512
477,202607536,4.11491144706026
478,202607537,5.455266457353988
479,202607538,4.849484959095196
480,202607539,4.55795220241068
481,202607540,5.109877768830399
482,202607541,5.270008158057824
483,202607542,4.899543896287153
484,202607543,5.140629505494644
485,202607544,4.3283082821828955
486,202607545,5.080051034046718
487,202607546,5.34423393782966
488,202607547,4.660470007227959
489,202607548,4.588165871972264
490,202607549,5.567421337376636
491,202607550,5.637583646829856
492,202607551,5.006806366041772
493,202607552,5.859251057278025
494,202607553,4.5368655957823085
495,202607554,5.379038076048019
496,202607555,4.7076932886203515
497,202607556,5.446458263700862
498,202607557,6.001177963869523
499,202607558,4.912167380469847
500,202607559,4.4706359555237825
